"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","MRT.FA66.NUM.A","OBS_VALUE","Mauritania, Islamic Republic of","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","","","","297624","7921444","","",""
"IMF.STA:FAS(4.0.0)","BDI.FA63.NUM.A","OBS_VALUE","Burundi","Active mobile money accounts","Number","Annual","Units","","","","","","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MRT.FA57.NUM.A","OBS_VALUE","Mauritania, Islamic Republic of","Registered mobile money agent outlets","Number","Annual","Units","","","124","171","1371","1636","","","","94","207","","",""
"IMF.STA:FAS(4.0.0)","MRT.FA63.NUM.A","OBS_VALUE","Mauritania, Islamic Republic of","Active mobile money accounts","Number","Annual","Units","","","","","","","","","","102804","156412","","",""
"IMF.STA:FAS(4.0.0)","BDI.FA66.NUM.A","OBS_VALUE","Burundi","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CAF.FA57.NUM.A","OBS_VALUE","Central African Republic","Registered mobile money agent outlets","Number","Annual","Units","","","","","","3","30","","","","","","",""
"IMF.STA:FAS(4.0.0)","CAF.FA66.NUM.A","OBS_VALUE","Central African Republic","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","1925","2217","","","","","","",""
"IMF.STA:FAS(4.0.0)","CAF.FA63.NUM.A","OBS_VALUE","Central African Republic","Active mobile money accounts","Number","Annual","Units","","","","","","422","2859","","","","","","",""
"IMF.STA:FAS(4.0.0)","LBY.FA66.NUM.A","OBS_VALUE","Libya","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","1974","1654970","939517","776138","1123542","629857","",""
"IMF.STA:FAS(4.0.0)","LBY.FA63.NUM.A","OBS_VALUE","Libya","Active mobile money accounts","Number","Annual","Units","","","","","","","419","76321","88256","82256","85239","66234","",""
"IMF.STA:FAS(4.0.0)","LBY.FA57.NUM.A","OBS_VALUE","Libya","Registered mobile money agent outlets","Number","Annual","Units","","","","","","","38","967","1533","1999","2458","2633","",""
"IMF.STA:FAS(4.0.0)","UGA.FA57.NUM.A","OBS_VALUE","Uganda","Registered mobile money agent outlets","Number","Annual","Units","","","53560","79002","109458","132937","159790","184529","212517","263698","475755","479585","697337","914556"
"IMF.STA:FAS(4.0.0)","UGA.FA66.NUM.A","OBS_VALUE","Uganda","Mobile money transactions (during the reference year)","Number","Annual","Units","87480931","241727421","399460833","496268636","693558390","974736355","1086145169","1878783504","2840934219.97","3526972164.5","4290780097","","","788563833"
"IMF.STA:FAS(4.0.0)","UGA.FA63.NUM.A","OBS_VALUE","Uganda","Active mobile money accounts","Number","Annual","Units","","","","","","","","14652583","16637123","19759974","22669251","25389777","27806313","32127030"
"IMF.STA:FAS(4.0.0)","STP.FA63.NUM.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Active mobile money accounts","Number","Annual","Units","","","","","","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","STP.FA26N.PTKM2_NUM.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","31.25","35.41666666666667","36.45833333333333","35.41666666666667","35.41666666666667","30.20833333333333","30.20833333333333","26.04166666666667","26.04166666666667","26.04166666666667","23.95833333333333","20.83333333333333","19.79166666666667",""
"IMF.STA:FAS(4.0.0)","STP.FA57.NUM.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Registered mobile money agent outlets","Number","Annual","Units","","","","","","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","STP.FA66.NUM.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BWA.FA66.NUM.A","OBS_VALUE","Botswana","Mobile money transactions (during the reference year)","Number","Annual","Units","517457","1236693","3195959","4385756","11481936","18360987","23134925","33016545","41963045","81811877","89002654","111656177","133087342","158867747"
"IMF.STA:FAS(4.0.0)","UGA.FA26N.PTKM2_NUM.A","OBS_VALUE","Uganda","Number of commercial bank branches","Per 1,000 square km","Annual","Units","2.089567125473768","2.443646519050469","2.717933373229603","2.907440654298823","3.007181328545781","2.982246159984041","2.882505485737084","2.922401755435867","3.042090564532216","3.012168362258129","2.907440654298823","3.042090564532216","3.042090564532216","2.932375822860563"
"IMF.STA:FAS(4.0.0)","BWA.FA26N.PTKM2_NUM.A","OBS_VALUE","Botswana","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.2046830060169746","0.209976532034655","0.2187990753974556","0.2276216187602562","0.2152700580523353","0.2258571100876961","0.2135055493797752","0.2435021968132973","0.252324740176098","0.2487957228309777","0.2117410407072151","0.2417376881407372","0.2611472835388986","0.2399731794681771"
"IMF.STA:FAS(4.0.0)","NGA.FA26N.PTKM2_NUM.A","OBS_VALUE","Nigeria","Number of commercial bank branches","Per 1,000 square km","Annual","Units","6.401177026032917","5.960890235734598","6.21122786213863","6.059707719841453","5.53377910998386","5.411904212918739","5.206583440385608","5.193407775838027","5.944420655050122","5.6874951963723","5.63589051022761","4.990282947396159","5.019928192628216","4.944168121479627"
"IMF.STA:FAS(4.0.0)","BWA.FA63.NUM.A","OBS_VALUE","Botswana","Active mobile money accounts","Number","Annual","Units","160874","308977","510604","729547","713382","877017","1081522","1184813","1402080","1781971","2018735","2986795","2437673","2696648"
"IMF.STA:FAS(4.0.0)","NGA.FA66.NUM.A","OBS_VALUE","Nigeria","Mobile money transactions (during the reference year)","Number","Annual","Units","","2297688","15930181","27744797","43933362","47053252","47819112","94653446","315680897","769238689","1201541158","1926293135","10774795048","17337971996"
"IMF.STA:FAS(4.0.0)","BWA.FA57.NUM.A","OBS_VALUE","Botswana","Registered mobile money agent outlets","Number","Annual","Units","","","","202","1736","1556","1351","1456","2911","3426","6687","13050","15022","16452"
"IMF.STA:FAS(4.0.0)","NGA.FA63.NUM.A","OBS_VALUE","Nigeria","Active mobile money accounts","Number","Annual","Units","","","","","","","","","","","23116378","28113901","37867662",""
"IMF.STA:FAS(4.0.0)","RWA.FA63.NUM.A","OBS_VALUE","Rwanda","Active mobile money accounts","Number","Annual","Units","410735","877730","1697775","2317505","2522096","3333349","3774438","4662206","4700987","4688124","5125090","6036044","6890768","7169324"
"IMF.STA:FAS(4.0.0)","RWA.FA57.NUM.A","OBS_VALUE","Rwanda","Registered mobile money agent outlets","Number","Annual","Units","1387","3102","8726","28664","40467","59952","83531","107858","98359","131173","124373","150767","162199","225132"
"IMF.STA:FAS(4.0.0)","RWA.FA26N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of commercial bank branches","Per 1,000 square km","Annual","Units","13.57924604783137","14.38994730441832","15.68706931495744","15.80867450344548","17.0247263883259","17.71382245642481","17.95703283340089","17.26793676530199","16.41670044588569","14.59262261856506","11.02553708958249","10.7823267126064","","17.18686663964329"
"IMF.STA:FAS(4.0.0)","RWA.FA66.NUM.A","OBS_VALUE","Rwanda","Mobile money transactions (during the reference year)","Number","Annual","Units","697497","22191674","57147777","104773115","168612455","205687966","251361153","299941137","378847720","701306416","914928988","1521111711","2263051143","2537441831.6945"
"IMF.STA:FAS(4.0.0)","SSD.FA63.NUM.A","OBS_VALUE","South Sudan, Republic of","Active mobile money accounts","Number","Annual","Units","","","","","","","","","","","","","","1078726"
"IMF.STA:FAS(4.0.0)","SSD.FA66.NUM.A","OBS_VALUE","South Sudan, Republic of","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","","","","","","","","291711755"
